Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,-8.184790589737947
75% Corpus,2,0.01,0.31,-9.51411119973961
75% Corpus,2,0.01,0.61,-8.242442802046998
75% Corpus,2,0.01,0.9099999999999999,-8.89883799234448
75% Corpus,2,0.01,symmetric,-8.59243402032291
75% Corpus,2,0.31,0.01,-8.58795168429688
75% Corpus,2,0.31,0.31,-8.873679084694599
75% Corpus,2,0.31,0.61,-8.660530605496431
75% Corpus,2,0.31,0.9099999999999999,-9.37299556738164
75% Corpus,2,0.31,symmetric,-8.541575449863362
75% Corpus,2,0.61,0.01,-9.2101284936662
75% Corpus,2,0.61,0.31,-8.58212271217948
75% Corpus,2,0.61,0.61,-9.579890370867375
75% Corpus,2,0.61,0.9099999999999999,-9.135357006427789
75% Corpus,2,0.61,symmetric,-8.351063331118237
75% Corpus,2,0.9099999999999999,0.01,-9.660747508252825
75% Corpus,2,0.9099999999999999,0.31,-8.380528739855519
75% Corpus,2,0.9099999999999999,0.61,-8.535215439682219
75% Corpus,2,0.9099999999999999,0.9099999999999999,-8.926471384843978
75% Corpus,2,0.9099999999999999,symmetric,-8.219614632781726
75% Corpus,2,symmetric,0.01,-8.550382195078548
75% Corpus,2,symmetric,0.31,-8.619359195314251
75% Corpus,2,symmetric,0.61,-8.960278064741942
75% Corpus,2,symmetric,0.9099999999999999,-8.74626911500559
75% Corpus,2,symmetric,symmetric,-8.980326313073194
75% Corpus,2,asymmetric,0.01,-8.757041386177704
75% Corpus,2,asymmetric,0.31,-9.657194859164527
75% Corpus,2,asymmetric,0.61,-10.717546386475696
75% Corpus,2,asymmetric,0.9099999999999999,-11.111535803171396
75% Corpus,2,asymmetric,symmetric,-9.928233597985674
75% Corpus,3,0.01,0.01,-8.860428072572724
75% Corpus,3,0.01,0.31,-9.643651118863055
75% Corpus,3,0.01,0.61,-10.996536479992317
75% Corpus,3,0.01,0.9099999999999999,-10.716104509802264
75% Corpus,3,0.01,symmetric,-11.65067116144904
75% Corpus,3,0.31,0.01,-10.025949225362856
75% Corpus,3,0.31,0.31,-11.08332190310468
75% Corpus,3,0.31,0.61,-11.508397939544382
75% Corpus,3,0.31,0.9099999999999999,-10.953749496062798
75% Corpus,3,0.31,symmetric,-9.852898912133703
75% Corpus,3,0.61,0.01,-9.905811165105584
75% Corpus,3,0.61,0.31,-10.287257010521751
75% Corpus,3,0.61,0.61,-9.815320362910596
75% Corpus,3,0.61,0.9099999999999999,-9.823100615260142
75% Corpus,3,0.61,symmetric,-10.23864657929216
75% Corpus,3,0.9099999999999999,0.01,-9.442178883266012
75% Corpus,3,0.9099999999999999,0.31,-10.367444105258231
75% Corpus,3,0.9099999999999999,0.61,-11.209656957196616
75% Corpus,3,0.9099999999999999,0.9099999999999999,-10.784758966773085
75% Corpus,3,0.9099999999999999,symmetric,-9.60734422405954
75% Corpus,3,symmetric,0.01,-9.17086648591887
75% Corpus,3,symmetric,0.31,-10.641652685832286
75% Corpus,3,symmetric,0.61,-11.288664080850298
