Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3873707465843616
75% Corpus,2,0.01,0.31,0.36007042063957917
75% Corpus,2,0.01,0.61,0.36683714825283487
75% Corpus,2,0.01,0.9099999999999999,0.34614298427605406
75% Corpus,2,0.01,symmetric,0.4363514788685461
75% Corpus,2,0.31,0.01,0.4384499782668735
75% Corpus,2,0.31,0.31,0.35864997579080643
75% Corpus,2,0.31,0.61,0.3892433567176984
75% Corpus,2,0.31,0.9099999999999999,0.3617747107150693
75% Corpus,2,0.31,symmetric,0.3723701453274308
75% Corpus,2,0.61,0.01,0.43025054884116853
75% Corpus,2,0.61,0.31,0.3620100948569944
75% Corpus,2,0.61,0.61,0.34150620250759955
75% Corpus,2,0.61,0.9099999999999999,0.3379551538337776
75% Corpus,2,0.61,symmetric,0.3622609028202184
75% Corpus,2,0.9099999999999999,0.01,0.4642203295022154
75% Corpus,2,0.9099999999999999,0.31,0.37497730317002964
75% Corpus,2,0.9099999999999999,0.61,0.3571432818044034
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.32960989152210257
75% Corpus,2,0.9099999999999999,symmetric,0.3477979079928314
75% Corpus,2,symmetric,0.01,0.4254988233641219
75% Corpus,2,symmetric,0.31,0.37701703290339117
75% Corpus,2,symmetric,0.61,0.4431563244580788
75% Corpus,2,symmetric,0.9099999999999999,0.35396202030695056
75% Corpus,2,symmetric,symmetric,0.43417631066275014
75% Corpus,2,asymmetric,0.01,0.38479777863820586
75% Corpus,2,asymmetric,0.31,0.42113466991734183
75% Corpus,2,asymmetric,0.61,0.4643634898225731
75% Corpus,2,asymmetric,0.9099999999999999,0.4461313281420709
75% Corpus,2,asymmetric,symmetric,0.4005985842586991
75% Corpus,3,0.01,0.01,0.4505536649130882
75% Corpus,3,0.01,0.31,0.4402992186947907
75% Corpus,3,0.01,0.61,0.3611558791356637
75% Corpus,3,0.01,0.9099999999999999,0.3611719903792688
75% Corpus,3,0.01,symmetric,0.4806021045124996
75% Corpus,3,0.31,0.01,0.37557065611290924
75% Corpus,3,0.31,0.31,0.435032218974203
75% Corpus,3,0.31,0.61,0.46256019266187964
75% Corpus,3,0.31,0.9099999999999999,0.45709435542275917
75% Corpus,3,0.31,symmetric,0.4496348858166672
75% Corpus,3,0.61,0.01,0.41896781921735027
75% Corpus,3,0.61,0.31,0.39214405083587217
75% Corpus,3,0.61,0.61,0.42180100077368016
75% Corpus,3,0.61,0.9099999999999999,0.4225647140426349
75% Corpus,3,0.61,symmetric,0.4232633404459043
75% Corpus,3,0.9099999999999999,0.01,0.367101084511637
75% Corpus,3,0.9099999999999999,0.31,0.43018410811456137
75% Corpus,3,0.9099999999999999,0.61,0.4321667357838
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4306482882153156
75% Corpus,3,0.9099999999999999,symmetric,0.41358784436111984
75% Corpus,3,symmetric,0.01,0.44787221693672646
75% Corpus,3,symmetric,0.31,0.44542989668270594
75% Corpus,3,symmetric,0.61,0.47861316012818006
75% Corpus,3,symmetric,0.9099999999999999,0.43170138785190176
75% Corpus,3,symmetric,symmetric,0.4311120846242833
75% Corpus,3,asymmetric,0.01,0.38105036595198233
75% Corpus,3,asymmetric,0.31,0.4675571394057578
75% Corpus,3,asymmetric,0.61,0.5006443774340656
75% Corpus,3,asymmetric,0.9099999999999999,0.5378205462426355
75% Corpus,3,asymmetric,symmetric,0.49162996800278996
75% Corpus,4,0.01,0.01,0.4107254135627195
75% Corpus,4,0.01,0.31,0.40574863978157893
75% Corpus,4,0.01,0.61,0.4026387577685964
75% Corpus,4,0.01,0.9099999999999999,0.4323951702696605
75% Corpus,4,0.01,symmetric,0.4118692672833287
75% Corpus,4,0.31,0.01,0.4031042723606875
75% Corpus,4,0.31,0.31,0.44016996150475357
75% Corpus,4,0.31,0.61,0.45483768882273384
75% Corpus,4,0.31,0.9099999999999999,0.4514531813589976
75% Corpus,4,0.31,symmetric,0.41118285051757
75% Corpus,4,0.61,0.01,0.4108468712505776
75% Corpus,4,0.61,0.31,0.43591690816368456
75% Corpus,4,0.61,0.61,0.4114800347010044
75% Corpus,4,0.61,0.9099999999999999,0.4183087453708092
75% Corpus,4,0.61,symmetric,0.4385120197909499
75% Corpus,4,0.9099999999999999,0.01,0.4264037685680171
75% Corpus,4,0.9099999999999999,0.31,0.4086466210739029
75% Corpus,4,0.9099999999999999,0.61,0.39823473033017737
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3886575757879126
75% Corpus,4,0.9099999999999999,symmetric,0.3944483838078504
75% Corpus,4,symmetric,0.01,0.41585919423313933
75% Corpus,4,symmetric,0.31,0.4720371003614518
75% Corpus,4,symmetric,0.61,0.4222842771272159
75% Corpus,4,symmetric,0.9099999999999999,0.4255161657573922
75% Corpus,4,symmetric,symmetric,0.4229270709207662
75% Corpus,4,asymmetric,0.01,0.4102146017487936
75% Corpus,4,asymmetric,0.31,0.4473574106696682
75% Corpus,4,asymmetric,0.61,0.446329382400557
75% Corpus,4,asymmetric,0.9099999999999999,0.47846741964196066
75% Corpus,4,asymmetric,symmetric,0.4338461839434019
75% Corpus,5,0.01,0.01,0.4404178100324384
75% Corpus,5,0.01,0.31,0.4656959103020143
75% Corpus,5,0.01,0.61,0.46404626785211905
75% Corpus,5,0.01,0.9099999999999999,0.48832869062138007
75% Corpus,5,0.01,symmetric,0.4603722595730645
75% Corpus,5,0.31,0.01,0.4193762830520534
75% Corpus,5,0.31,0.31,0.4719000355467594
75% Corpus,5,0.31,0.61,0.45692805088524857
75% Corpus,5,0.31,0.9099999999999999,0.4656997902463669
75% Corpus,5,0.31,symmetric,0.48273973482272414
75% Corpus,5,0.61,0.01,0.3944286518647198
75% Corpus,5,0.61,0.31,0.4401702162636732
75% Corpus,5,0.61,0.61,0.44058956195624804
75% Corpus,5,0.61,0.9099999999999999,0.44350865640611536
75% Corpus,5,0.61,symmetric,0.44771527049429666
75% Corpus,5,0.9099999999999999,0.01,0.4257234034461435
75% Corpus,5,0.9099999999999999,0.31,0.43044250306305265
75% Corpus,5,0.9099999999999999,0.61,0.45859444261784066
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4197062208911528
75% Corpus,5,0.9099999999999999,symmetric,0.42498605253350297
75% Corpus,5,symmetric,0.01,0.4107341753290637
75% Corpus,5,symmetric,0.31,0.4478074479745498
75% Corpus,5,symmetric,0.61,0.44705776697208605
75% Corpus,5,symmetric,0.9099999999999999,0.5053901804566656
75% Corpus,5,symmetric,symmetric,0.4632391772012504
75% Corpus,5,asymmetric,0.01,0.44023523922919094
75% Corpus,5,asymmetric,0.31,0.4433952899015245
75% Corpus,5,asymmetric,0.61,0.46717884998287323
75% Corpus,5,asymmetric,0.9099999999999999,0.47656900972569816
75% Corpus,5,asymmetric,symmetric,0.46811717617869614
75% Corpus,6,0.01,0.01,0.44327130101891893
75% Corpus,6,0.01,0.31,0.44685930746393737
75% Corpus,6,0.01,0.61,0.4676181924943375
75% Corpus,6,0.01,0.9099999999999999,0.5148890745965357
75% Corpus,6,0.01,symmetric,0.44845610738032776
75% Corpus,6,0.31,0.01,0.4267410706145911
75% Corpus,6,0.31,0.31,0.4591708921661784
75% Corpus,6,0.31,0.61,0.46632904503065714
75% Corpus,6,0.31,0.9099999999999999,0.523532139537801
75% Corpus,6,0.31,symmetric,0.46480706762708573
75% Corpus,6,0.61,0.01,0.4255760015544548
75% Corpus,6,0.61,0.31,0.4277790291958475
75% Corpus,6,0.61,0.61,0.46090600842484825
75% Corpus,6,0.61,0.9099999999999999,0.4681501897420262
75% Corpus,6,0.61,symmetric,0.4660113786591902
75% Corpus,6,0.9099999999999999,0.01,0.42707827747942306
75% Corpus,6,0.9099999999999999,0.31,0.4310964099146178
75% Corpus,6,0.9099999999999999,0.61,0.4442075724226264
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.448510330702465
75% Corpus,6,0.9099999999999999,symmetric,0.4467162036777698
75% Corpus,6,symmetric,0.01,0.4337998142941973
75% Corpus,6,symmetric,0.31,0.47545743181301675
75% Corpus,6,symmetric,0.61,0.48467359616391636
75% Corpus,6,symmetric,0.9099999999999999,0.4833072963580098
75% Corpus,6,symmetric,symmetric,0.449595774509372
75% Corpus,6,asymmetric,0.01,0.4428104582847669
75% Corpus,6,asymmetric,0.31,0.4936879961144975
75% Corpus,6,asymmetric,0.61,0.5031423238307394
75% Corpus,6,asymmetric,0.9099999999999999,0.46110875099310195
75% Corpus,6,asymmetric,symmetric,0.4632791236507377
75% Corpus,7,0.01,0.01,0.42800470625103804
75% Corpus,7,0.01,0.31,0.453448084685884
75% Corpus,7,0.01,0.61,0.4466669716488468
75% Corpus,7,0.01,0.9099999999999999,0.48262443531454613
75% Corpus,7,0.01,symmetric,0.44850832798963364
75% Corpus,7,0.31,0.01,0.45553658440641476
75% Corpus,7,0.31,0.31,0.49298661889450873
75% Corpus,7,0.31,0.61,0.4872494586928175
75% Corpus,7,0.31,0.9099999999999999,0.46529178795556264
75% Corpus,7,0.31,symmetric,0.479954053758125
75% Corpus,7,0.61,0.01,0.46743621092989124
75% Corpus,7,0.61,0.31,0.476484581446428
75% Corpus,7,0.61,0.61,0.4783342889219288
75% Corpus,7,0.61,0.9099999999999999,0.4582493444939676
75% Corpus,7,0.61,symmetric,0.4563916953315607
75% Corpus,7,0.9099999999999999,0.01,0.4559932250029276
75% Corpus,7,0.9099999999999999,0.31,0.4704402870976656
75% Corpus,7,0.9099999999999999,0.61,0.45887277892847084
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4606220579565211
75% Corpus,7,0.9099999999999999,symmetric,0.45647744295423465
75% Corpus,7,symmetric,0.01,0.457226307030226
75% Corpus,7,symmetric,0.31,0.4767800442911609
75% Corpus,7,symmetric,0.61,0.48495753231654076
75% Corpus,7,symmetric,0.9099999999999999,0.5248228276150496
75% Corpus,7,symmetric,symmetric,0.46085495663699544
75% Corpus,7,asymmetric,0.01,0.41090827841460353
75% Corpus,7,asymmetric,0.31,0.46294303758937083
75% Corpus,7,asymmetric,0.61,0.5075525469767702
75% Corpus,7,asymmetric,0.9099999999999999,0.5638761893899487
75% Corpus,7,asymmetric,symmetric,0.4315269044050976
75% Corpus,8,0.01,0.01,0.4568856877506333
75% Corpus,8,0.01,0.31,0.48303098994781957
75% Corpus,8,0.01,0.61,0.47470967199291514
75% Corpus,8,0.01,0.9099999999999999,0.4791370467930418
75% Corpus,8,0.01,symmetric,0.4483069735935933
75% Corpus,8,0.31,0.01,0.49045631548636553
75% Corpus,8,0.31,0.31,0.5006880107455933
75% Corpus,8,0.31,0.61,0.5262089540651372
75% Corpus,8,0.31,0.9099999999999999,0.5203384167864927
75% Corpus,8,0.31,symmetric,0.49972681663684454
75% Corpus,8,0.61,0.01,0.46815617196826187
75% Corpus,8,0.61,0.31,0.4795671941437219
75% Corpus,8,0.61,0.61,0.46168054995159813
75% Corpus,8,0.61,0.9099999999999999,0.47680969493092257
75% Corpus,8,0.61,symmetric,0.4846909072466887
75% Corpus,8,0.9099999999999999,0.01,0.4658723775093503
75% Corpus,8,0.9099999999999999,0.31,0.45770358147753326
75% Corpus,8,0.9099999999999999,0.61,0.4830063852583353
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4692117305702672
75% Corpus,8,0.9099999999999999,symmetric,0.45497905796708793
75% Corpus,8,symmetric,0.01,0.4587656568989018
75% Corpus,8,symmetric,0.31,0.48172788023367247
75% Corpus,8,symmetric,0.61,0.4458634073704525
75% Corpus,8,symmetric,0.9099999999999999,0.5162315867154587
75% Corpus,8,symmetric,symmetric,0.4719809410412268
75% Corpus,8,asymmetric,0.01,0.41933470000559836
75% Corpus,8,asymmetric,0.31,0.4975616486131887
75% Corpus,8,asymmetric,0.61,0.5539463340412158
75% Corpus,8,asymmetric,0.9099999999999999,0.5019004561963911
75% Corpus,8,asymmetric,symmetric,0.4637039968112845
75% Corpus,9,0.01,0.01,0.5080495586630077
75% Corpus,9,0.01,0.31,0.511127919528676
75% Corpus,9,0.01,0.61,0.4982814226996738
75% Corpus,9,0.01,0.9099999999999999,0.5179301672551526
75% Corpus,9,0.01,symmetric,0.4895756836437733
75% Corpus,9,0.31,0.01,0.5012120881715457
75% Corpus,9,0.31,0.31,0.49332289464103085
75% Corpus,9,0.31,0.61,0.5233512034664318
75% Corpus,9,0.31,0.9099999999999999,0.5437583571901368
75% Corpus,9,0.31,symmetric,0.4886625183941596
75% Corpus,9,0.61,0.01,0.4830372001344075
75% Corpus,9,0.61,0.31,0.4764349162067946
75% Corpus,9,0.61,0.61,0.5025148098827552
75% Corpus,9,0.61,0.9099999999999999,0.4794764528906519
75% Corpus,9,0.61,symmetric,0.4708457330289932
75% Corpus,9,0.9099999999999999,0.01,0.4813256410527539
75% Corpus,9,0.9099999999999999,0.31,0.4742220446478275
75% Corpus,9,0.9099999999999999,0.61,0.4574927161757692
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.49715238586748534
75% Corpus,9,0.9099999999999999,symmetric,0.4569708570816331
75% Corpus,9,symmetric,0.01,0.5018966301107681
75% Corpus,9,symmetric,0.31,0.4947901822222394
75% Corpus,9,symmetric,0.61,0.49671422317613967
75% Corpus,9,symmetric,0.9099999999999999,0.5131659032547723
75% Corpus,9,symmetric,symmetric,0.4778331667730293
75% Corpus,9,asymmetric,0.01,0.452715152824153
75% Corpus,9,asymmetric,0.31,0.46247599377008747
75% Corpus,9,asymmetric,0.61,0.495256301156522
75% Corpus,9,asymmetric,0.9099999999999999,0.5147058300626427
75% Corpus,9,asymmetric,symmetric,0.5143778033907398
75% Corpus,10,0.01,0.01,0.47695935530601535
75% Corpus,10,0.01,0.31,0.48902969860097223
75% Corpus,10,0.01,0.61,0.5181063063131365
75% Corpus,10,0.01,0.9099999999999999,0.531934884685433
75% Corpus,10,0.01,symmetric,0.4935394161151363
75% Corpus,10,0.31,0.01,0.5039336030297593
75% Corpus,10,0.31,0.31,0.5069831560232728
75% Corpus,10,0.31,0.61,0.5275406364395269
75% Corpus,10,0.31,0.9099999999999999,0.5476295415410761
75% Corpus,10,0.31,symmetric,0.515752527256435
75% Corpus,10,0.61,0.01,0.4920053973866031
75% Corpus,10,0.61,0.31,0.49942184970253517
75% Corpus,10,0.61,0.61,0.4892629320681956
75% Corpus,10,0.61,0.9099999999999999,0.5235074105799689
75% Corpus,10,0.61,symmetric,0.49652853787934187
75% Corpus,10,0.9099999999999999,0.01,0.505437126145085
75% Corpus,10,0.9099999999999999,0.31,0.45954739167601416
75% Corpus,10,0.9099999999999999,0.61,0.4769150516972568
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5470107311818434
75% Corpus,10,0.9099999999999999,symmetric,0.4833974966561625
75% Corpus,10,symmetric,0.01,0.48592042175240335
75% Corpus,10,symmetric,0.31,0.5484540668032044
75% Corpus,10,symmetric,0.61,0.5332093012210123
75% Corpus,10,symmetric,0.9099999999999999,0.5266176272749297
75% Corpus,10,symmetric,symmetric,0.46987047943042803
75% Corpus,10,asymmetric,0.01,0.4535762596196281
75% Corpus,10,asymmetric,0.31,0.5065855134346597
